model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,INT8,4,25W,19.920155523380725,0.8610579678018617,4.1232752162346085,1.161361995816419,0
resnet18,INT8,4,MAXN,31.832939516042707,1.27770782916495,6.400084696519915,0.782651539870076,0
resnet18,INT8,8,7W,6.270720555948393,0.36099221174372104,1.0328084294198292,2.770142865879692,0
resnet18,INT8,8,15W,13.333270870899954,0.6885143498123433,2.212760000083166,1.4524025538066898,0
resnet18,INT8,8,25W,22.242739626963473,1.0686764445486163,3.655553719144847,0.9357369156034654,0
resnet18,INT8,8,MAXN,35.567847851024574,1.5922238900045107,5.638525226049525,0.6280523777326109,0
resnet18,INT8,16,7W,6.944108261486922,0.4353805950506974,0.8831650723288648,2.29684099697543,0
resnet18,INT8,16,15W,14.711216044959961,0.8400586618591899,1.9207734944474573,1.1903930587262004,0
resnet18,INT8,16,25W,24.337703943565337,1.3330063137852928,3.2616027600159976,0.7501839936229063,0
resnet18,INT8,16,MAXN,38.884006278535836,2.002898115752686,4.995555513462311,0.4992765194270511,0
resnet18,FP8,1,7W,4.601248828715617,0.18161908098071516,1.4611733266868854,5.506029402858738,0
resnet18,FP8,1,15W,9.960734106583253,0.3505110512915889,3.0734852120385856,2.8529770924914537,0
resnet18,FP8,1,25W,16.398211161918663,0.5739733624310853,5.265141138416823,1.7422411307808139,0
resnet18,FP8,1,MAXN,26.287514694143955,0.8501281937059841,8.284179941417166,1.1762931842557487,0
resnet18,FP8,2,7W,5.155569282735127,0.23088680540965237,1.3299204422448172,4.331126667137794,0
resnet18,FP8,2,15W,10.802338168902029,0.4316094072537641,2.8236721092373207,2.3169096483850535,0
resnet18,FP8,2,25W,17.902636562174017,0.6954452949134581,4.758649093190039,1.4379276232279938,0
resnet18,FP8,2,MAXN,28.618109675689148,1.0397795849355902,7.358422820567628,0.9617422908547927,0
resnet18,FP8,4,7W,5.707022417737104,0.2909001580437466,1.1632682176716038,3.4376055576072133,0
resnet18,FP8,4,15W,11.98406255319628,0.5461742270606368,2.482586649545902,1.830917590860579,0
resnet18,FP8,4,25W,19.943126818950354,0.859645538235031,4.126336723972666,1.1632701567359214,0
resnet18,FP8,4,MAXN,31.863754442074047,1.2838006643791582,6.389658486985645,0.7789371261025143,0
resnet18,FP8,8,7W,6.263133170351211,0.3588779238208542,1.0341661618209088,2.786462843279218,0
resnet18,FP8,8,15W,13.36112902005082,0.687285892908574,2.218611239318828,1.454998582566607,0
resnet18,FP8,8,25W,22.26355079425662,1.0674479876448466,3.662266123582365,0.9368137947464215,0
resnet18,FP8,8,MAXN,35.72781865417717,1.5985006978817806,5.633135879754125,0.6255862142100588,0
resnet18,FP8,16,7W,6.971974582292926,0.4314989186948979,0.8845228047299436,2.317502910608856,0
resnet18,FP8,16,15W,14.785082971629667,0.8370628165224878,1.9266247336831201,1.1946534719513906,0
resnet18,FP8,16,25W,24.482993320821258,1.3300104684485905,3.2683151644535156,0.7518737812390787,0
resnet18,FP8,16,MAXN,39.61167362781844,2.007407535197023,4.995564676103135,0.4981549498377528,0
resnet18,INT4,1,7W,4.189536182075058,0.17067997242860344,1.469245466904879,5.858918218529164,0
resnet18,INT4,1,15W,9.095232644766718,0.31950080698366834,3.0707963865458234,3.129882548469169,0
resnet18,INT4,1,25W,15.136644523891395,0.52118761088983,5.248188201461857,1.9186948789758984,0
resnet18,INT4,1,MAXN,24.08569677950636,0.7872667457645677,8.364922132401716,1.2702175029999936,0
resnet18,INT4,2,7W,4.707319992384412,0.21303456518474712,1.3626126390405209,4.694073936465585,0
resnet18,INT4,2,15W,9.936898290384969,0.39280020025395224,2.845603340322268,2.545823549360419,0
resnet18,INT4,2,25W,16.54722323634425,0.6427216276380318,4.766316212812783,1.5558835380644456,0
resnet18,INT4,2,MAXN,26.43515970662278,0.9762934565063808,7.463785068129889,1.024282190293943,0
resnet18,INT4,4,7W,5.219365918005621,0.26035557577629326,1.1669391225899737,3.840901033205586,0
resnet18,INT4,4,15W,10.978526776854865,0.48670171644388516,2.480249725835622,2.054646544718517,0
resnet18,INT4,4,25W,18.404882401611882,0.7900303227269914,4.116301237692824,1.265774200347456,0
resnet18,INT4,4,MAXN,29.135396504876176,1.2034229877173355,6.4760800067944375,0.8309630198246502,0
resnet18,INT4,8,7W,5.792202558431829,0.32673162206289624,1.0341861700398172,3.0606159075949457,0
resnet18,INT4,8,15W,12.250263201094173,0.6262116628013183,2.2126234189090868,1.5969041450402937,0
resnet18,INT4,8,25W,20.482307269386148,0.9993916364280385,3.6485797406030596,1.0006087339034935,0
resnet18,INT4,8,MAXN,32.520000251005975,1.519681885511188,5.714520536324048,0.6580324537221299,0
resnet18,INT4,16,7W,6.436779272287776,0.3793636588888786,0.8163727725825364,2.6359931336831486,0
resnet18,INT4,16,15W,13.692351633222174,0.7482677467472529,1.8238405503548274,1.3364200239112756,0
resnet18,INT4,16,25W,22.515130667170318,1.1641181453378082,3.096268225806586,0.85901933923538,0
resnet18,INT4,16,MAXN,36.18588936221849,1.758919484023898,4.857284806291805,0.5685308560641388,0
resnet50,FP16,1,7W,5.445886543845666,0.2084177790980917,1.4446250125524203,4.798055157901623,0
resnet50,FP16,1,15W,11.7612379828212,0.3963607273170956,3.0289060685221054,2.5229542966298535,0
resnet50,FP16,1,25W,19.326283148131605,0.641384983816431,5.076480917097087,1.559125993330407,0
resnet50,FP16,1,MAXN,30.71158404211138,0.9768927075615504,7.9602204852046095,1.0236538693139887,0
resnet50,FP16,2,7W,5.976788119852062,0.27679929999760206,1.3331737726431654,3.612725899265869,0
resnet50,FP16,2,15W,12.645951080081582,0.5022703797123674,2.798894610253654,1.9909595317419768,0
resnet50,FP16,2,25W,20.969084671541495,0.8000469551864685,4.68352683095829,1.2499266368271198,0
resnet50,FP16,2,MAXN,33.484999654163964,1.2141646440750216,7.398167506851622,0.8236115298529574,0
resnet50,FP16,4,7W,6.684379497312965,0.33623949325897096,1.1991038653898367,2.9740706253973626,0
resnet50,FP16,4,15W,14.04884851856773,0.6158251846697015,2.456388137113715,1.6238374540273977,0
resnet50,FP16,4,25W,23.50458399028173,0.9654963642388611,4.047266065042991,1.0357366811923103,0
resnet50,FP16,4,MAXN,37.67764515801908,1.5065158440749635,6.455691419701727,0.6637832611803852,0
resnet50,FP16,8,7W,7.502106514602889,0.34868002101402046,0.9941645981849576,2.867958987417263,0
resnet50,FP16,8,15W,15.687531250098083,0.7013996124955805,2.116575515532456,1.4257207762661845,0
resnet50,FP16,8,25W,26.086624230263816,1.1442971129772703,3.483801767735094,0.873898910221111,0
resnet50,FP16,8,MAXN,41.423407066987224,1.8934627251226528,5.641935799325291,0.528132921093138,0
resnet50,FP16,16,7W,8.122546161105411,0.46937331904594837,0.8631181215929175,2.1305003063075834,0
resnet50,FP16,16,15W,17.283007408241502,0.90504920764703,1.8620443550077965,1.1049122981940678,0
resnet50,FP16,16,25W,28.83062521846384,1.492663048750779,3.1460203572066,0.6699435621702483,0
resnet50,FP16,16,MAXN,45.701139103101795,2.3752939374506084,5.071037691477653,0.421000527232977,0
resnet50,INT8,1,7W,4.7379882194747704,0.17348908497694027,1.4265245084442428,5.764051381865998,0
resnet50,INT8,1,15W,10.097473497342408,0.3423810552878138,3.0318886889345693,2.9207223488442597,0
resnet50,INT8,1,25W,16.58655834458462,0.552089295801521,5.087705736049867,1.8113011927684706,0
resnet50,INT8,1,MAXN,26.503921643048628,0.8624330710499316,8.067510215228966,1.1595102664402626,0
resnet50,INT8,2,7W,5.205546862610435,0.2325266343536537,1.3121059691926582,4.300582609728411,0
resnet50,INT8,2,15W,10.852315748777338,0.4323634051786677,2.7989099313237884,2.312869192957635,0
resnet50,INT8,2,25W,18.00422193395613,0.6887519093802941,4.69178435056874,1.451901601114619,0
resnet50,INT8,2,MAXN,28.747754813709978,1.0712781979304862,7.499576560246343,0.9334643437454597,0
resnet50,INT8,4,7W,5.727294715046678,0.29110452437582107,1.1748895238275114,3.435192229128608,0
resnet50,INT8,4,15W,11.968889315757801,0.5454927623736135,2.4872602508404356,1.8332048910212484,0
resnet50,INT8,4,25W,19.943238721008907,0.8515166900899404,4.08638037731003,1.1743751022594475,0
resnet50,INT8,4,MAXN,31.842523475403322,1.323839009178162,6.583620308386077,0.7553788588091229,0
resnet50,INT8,8,7W,6.278144877637658,0.3506704916745467,0.9971642136108915,2.8516799210128254,0
resnet50,INT8,8,15W,13.340695192589214,0.6781926297431689,2.1746615862474346,1.4745073245321163,0
resnet50,INT8,8,25W,22.258402106292042,1.0509073410213752,3.5489109878909533,0.9515586778831534,0
resnet50,INT8,8,MAXN,35.570011092085544,1.6349066237231955,5.775690835832993,0.6116557272993892,0
resnet50,INT8,16,7W,7.041524613182022,0.4300495539724362,0.8594938837242694,2.325313422052972,0
resnet50,INT8,16,15W,14.797690282288666,0.8379043160719575,1.8985715144851092,1.1934536925265367,0
resnet50,INT8,16,25W,24.432416338533358,1.3219757667660186,3.17899553480894,0.7564435182093574,0
resnet50,INT8,16,MAXN,38.96521943523627,2.1081646469080524,5.167260176495612,0.474346252540879,0
resnet50,FP8,1,7W,4.647891777975075,0.1698299441895242,1.4482975911228895,5.888243117385915,0
resnet50,FP8,1,15W,10.007377055842712,0.33872191450039774,3.0581552784477957,2.9522742910654687,0
resnet50,FP8,1,25W,16.4894149212272,0.5484301550141052,5.114833490764953,1.8233862431840218,0
resnet50,FP8,1,MAXN,26.394677235981213,0.853913387641423,8.009170829208088,1.171078957740761,0
resnet50,FP8,2,7W,5.203948039234317,0.23489687829189612,1.3449662913139309,4.257187269885058,0
resnet50,FP8,2,15W,10.85071692540122,0.4356194801360078,2.836263760279642,2.2955814549151543,0
resnet50,FP8,2,25W,17.995576128722288,0.6920079843376343,4.729999344726453,1.445070031897341,0
resnet50,FP8,2,MAXN,28.72700802476614,1.0703604950203567,7.452324413668088,0.9342646749878241,0
resnet50,FP8,4,7W,5.72186745772598,0.2926544604837182,1.1974759629370864,3.4169990040375104,0
resnet50,FP8,4,15W,11.998907593185152,0.5479285295006086,2.514340196784592,1.8250555431224162,0
resnet50,FP8,4,25W,19.966210016578536,0.8539524572169354,4.114321488456047,1.1710253791634249,0
resnet50,FP8,4,MAXN,31.873338401434662,1.322100998437687,6.527332400647008,0.7563718665833318,0
resnet50,FP8,8,7W,6.270557492040476,0.35222042778244383,1.023401549419928,2.8391311835487025,0
resnet50,FP8,8,15W,13.36855334174008,0.6806283968701639,2.2053924288910522,1.4692305002236914,0
resnet50,FP8,8,25W,22.27921327358519,1.0533431081483702,3.580502995736427,0.9493582786693883,0
resnet50,FP8,8,MAXN,35.72998189523814,1.6331686129827205,5.724439791332793,0.6123066485913297,0
resnet50,FP8,16,7W,7.069390933988027,0.42564231464045016,0.8857312195333045,2.349390475532779,0
resnet50,FP8,16,15W,14.871557208958372,0.8343829077590691,1.9293023571287289,1.198490514008412,0
resnet50,FP8,16,25W,24.57770571578928,1.3184543584531305,3.2105875426544137,0.7584638736931665,0
resnet50,FP8,16,MAXN,39.692886784518876,2.1004694607276937,5.121407640931636,0.4760840463034186,0
resnet50,INT4,1,7W,4.200868469142484,0.1558551669654466,1.4406758979328538,6.416213331071032,0
resnet50,INT4,1,15W,9.073896405162007,0.30413913351055305,3.0397726195470067,3.287968859703817,0
resnet50,INT4,1,25W,15.154108912180492,0.4876375257061492,5.1040102447218105,2.050703539584853,0
resnet50,INT4,1,MAXN,24.140008762335793,0.8041118971583926,8.188978705213012,1.2436080146728903,0
resnet50,INT4,2,7W,4.72038808669157,0.20972468222275187,1.3262573586812691,4.768155990995301,0
resnet50,INT4,2,15W,9.91729785801999,0.38895344928199876,2.806793861936226,2.571001753155763,0
resnet50,INT4,2,25W,16.56642343187308,0.6269931521232344,4.708088859240684,1.5949137508338398,0
resnet50,INT4,2,MAXN,26.491207496691946,1.01565003687726,7.621045050230388,0.9845911127760325,0
resnet50,INT4,4,7W,5.189964573268382,0.2568428569253171,1.1603879389503877,3.8934312286160746,0
resnet50,INT4,4,15W,10.916456905445486,0.4826521295829507,2.471244344169244,2.0718856060245265,0
resnet50,INT4,4,25W,18.345290505686535,0.7740990113232132,4.0853505975909865,1.2918244118289737,0
resnet50,INT4,4,MAXN,29.08319418269488,1.2525519266152683,6.687754509979136,0.7983700944856383,0
resnet50,INT4,8,7W,5.731084289707398,0.3149910773965996,0.9826626287337683,3.174693100087143,0
resnet50,INT4,8,15W,12.156476405697598,0.6139342501250633,2.158645679576243,1.6288389184937833,0
resnet50,INT4,8,25W,20.390998449473607,0.9752324992089401,3.5478812081719084,1.0253965088439425,0
resnet50,INT4,8,MAXN,32.43608100483743,1.5653623781145936,5.879825037426052,0.6388297137972957,0
resnet50,INT4,16,7W,6.46565303356918,0.38438453029851916,0.839065368186421,2.601561512434915,0
resnet50,INT4,16,15W,13.677614753465043,0.7559284454379638,1.8480023546009592,1.322876531548734,0
resnet50,INT4,16,25W,22.50287176289723,1.1584683017117017,3.0818483091278632,0.8632087718951343,0
resnet50,INT4,16,MAXN,36.181020031689414,1.8789545111490094,5.119371470349233,0.5322108619800938,0
mobilenet_v3_large,FP16,1,7W,5.340093450720942,0.20990881489459576,1.510057532633659,4.763973349581069,0
mobilenet_v3_large,FP16,1,15W,11.65544488969648,0.39785176311359965,3.0994008138393463,2.5134989780464223,0
mobilenet_v3_large,FP16,1,25W,19.22049005500689,0.648119100965644,5.156541089136932,1.5429262901063747,0
mobilenet_v3_large,FP16,1,MAXN,30.614332943336965,1.0123449523468675,8.316827221760198,0.9878055870992898,0
mobilenet_v3_large,FP16,2,7W,5.933360479829175,0.26275254064513476,1.2954792019946808,3.8058623431183802,0
mobilenet_v3_large,FP16,2,15W,12.602523440058699,0.4882236203599002,2.7662622648411705,2.0482417447620365,0
mobilenet_v3_large,FP16,2,25W,20.92565703151862,0.7860001958340013,4.625209104544471,1.272264314055202,0
mobilenet_v3_large,FP16,2,MAXN,33.45011400849138,1.2288360123586586,7.454373629914426,0.8137782339895582,0
mobilenet_v3_large,FP16,4,7W,6.656714228005783,0.32506555849915864,1.1758306389551612,3.076302529917479,0
mobilenet_v3_large,FP16,4,15W,14.021183249260554,0.6046512499098892,2.4381771359150397,1.653845915557157,0
mobilenet_v3_large,FP16,4,25W,23.476918720974563,0.9543224294790488,4.005897066092385,1.0478638760967673,0
mobilenet_v3_large,FP16,4,MAXN,37.6585218830622,1.5224045962283792,6.528846270227745,0.656855610182346,0
mobilenet_v3_large,FP16,8,7W,7.432069624463968,0.41311083003289284,1.052935330253628,2.4206579138106297,0
mobilenet_v3_large,FP16,8,15W,15.617494359959174,0.7658304215144531,2.180408472837127,1.3057721029447606,0
mobilenet_v3_large,FP16,8,25W,26.09498448629463,1.208727921996142,3.5469691943595603,0.8273160417677451,0
mobilenet_v3_large,FP16,8,MAXN,41.45001932204469,1.9796802279757122,5.8093878380330395,0.505132084398566,0
mobilenet_v3_large,FP16,16,7W,8.17068303946658,0.5411262513269224,0.928494214801456,1.8479975745916053,0
mobilenet_v3_large,FP16,16,15W,17.342086400969055,0.9768021399280036,1.9349923674349037,1.0237487809698147,0
mobilenet_v3_large,FP16,16,25W,28.977047753700894,1.565844798805727,3.218302838953501,0.638632896927398,0
mobilenet_v3_large,FP16,16,MAXN,45.86581363736551,2.4702623813397424,5.243814656050081,0.40481529717408066,1
mobilenet_v3_large,INT8,1,7W,4.701981680872635,0.1879894943233312,1.5217575350982209,5.319446193520033,0
mobilenet_v3_large,INT8,1,15W,10.061466958740281,0.35410988007863,3.119327579586325,2.8239822051221792,0
mobilenet_v3_large,INT8,1,25W,16.586488515643445,0.5690612019450462,5.1847100534242285,1.7572802302845614,0
mobilenet_v3_large,INT8,1,MAXN,26.670170447935337,0.8511582375316048,8.241166293791002,1.174869672765011,0
mobilenet_v3_large,INT8,2,7W,5.207903615938808,0.22441542615139193,1.256649161129086,4.456021661030531,0
mobilenet_v3_large,INT8,2,15W,10.854672502105721,0.42148061242083107,2.735658987257992,2.3725883718740093,0
mobilenet_v3_large,INT8,2,25W,18.04251539694547,0.6778691166224575,4.60284802550161,1.475211033337214,0
mobilenet_v3_large,INT8,2,MAXN,28.9523669105272,1.032148665510797,7.325269281327765,0.968852679284445,0
mobilenet_v3_large,INT8,4,7W,5.754185298970633,0.2858661407662143,1.1338540599777482,3.498140763784317,0
mobilenet_v3_large,INT8,4,15W,11.995779899681768,0.5374827942084319,2.4384306509884475,1.860524673115782,0
mobilenet_v3_large,INT8,4,25W,20.006066014593824,0.8435067219247587,4.014392779706113,1.1855270076783107,0
mobilenet_v3_large,INT8,4,MAXN,32.07166940281612,1.2859268606282515,6.426261756930713,0.7776492043345613,0
mobilenet_v3_large,INT8,8,7W,6.312027121606043,0.3507232235480405,1.003747334219489,2.8512511657587014,0
mobilenet_v3_large,INT8,8,15W,13.374577436557619,0.6754737770610877,2.173450570853809,1.480442370910223,0
mobilenet_v3_large,INT8,8,25W,22.406618206091117,1.0481884883392942,3.547034441817123,0.9540268865043137,0
mobilenet_v3_large,INT8,8,MAXN,35.8942558303889,1.5970095975773448,5.678204098514374,0.6261703132636114,0
mobilenet_v3_large,INT8,16,7W,7.010862423015779,0.42628133707493027,0.8734891984839839,2.345868592000366,0
mobilenet_v3_large,INT8,16,15W,14.777970206488838,0.8313645146188761,1.9072823872251674,1.2028418129662797,0
mobilenet_v3_large,INT8,16,25W,24.535976514903968,1.3168647830869131,3.1870408768687923,0.7593794084582183,0
mobilenet_v3_large,INT8,16,MAXN,39.24480825011116,2.06787548976518,5.07590519805292,0.48358811009146213,0
mobilenet_v3_large,FP8,1,7W,4.611885239372939,0.17854422123138325,1.4310716880075196,5.600853352201505,0
mobilenet_v3_large,FP8,1,15W,9.971370517240585,0.3446646069866821,3.033135239330205,2.901371303374472,0
mobilenet_v3_large,FP8,1,25W,16.489345092286026,0.5596159288530984,5.099378878369967,1.7869398429194896,0
mobilenet_v3_large,FP8,1,MAXN,26.560926040867923,0.8395723884045424,8.129615036363454,1.19108252464129,0
mobilenet_v3_large,FP8,2,7W,5.20630479256269,0.2205749327234146,1.235217760305412,4.533606732429244,0
mobilenet_v3_large,FP8,2,15W,10.853073678729604,0.4185259500119516,2.7187210932688997,2.389338104295429,0
mobilenet_v3_large,FP8,2,25W,18.033869591711625,0.6749144542135782,4.5867712967143754,1.4816692600919579,0
mobilenet_v3_large,FP8,2,MAXN,28.93162012158336,1.027740191820425,7.282972470167239,0.973008556013277,0
mobilenet_v3_large,FP8,4,7W,5.7447544479694415,0.28120533950789184,1.1021487761423765,3.5561202420622444,0
mobilenet_v3_large,FP8,4,15W,12.021794583428626,0.5337078239692074,2.4112188739876577,1.8736843551645135,0
mobilenet_v3_large,FP8,4,25W,20.02503371648296,0.8397317516855342,3.98804216790718,1.190856482433552,0
mobilenet_v3_large,FP8,4,MAXN,32.09848073516699,1.280698079107534,6.374929184609373,0.7808241585689416,0
mobilenet_v3_large,FP8,8,7W,6.300436142328368,0.3462463949527795,0.9756929470835789,2.8881167127714886,0
mobilenet_v3_large,FP8,8,15W,13.398431992027993,0.6718827794849245,2.1498896905524805,1.4883548597072471,0
mobilenet_v3_large,FP8,8,25W,22.42342577970377,1.0445974907631304,3.5243347267176506,0.9573065308336615,0
mobilenet_v3_large,FP8,8,MAXN,36.050223039861,1.591964788719689,5.631908389431903,0.6281545968138109,0
mobilenet_v3_large,FP8,16,7W,7.002269274790139,0.4269904050728868,0.8454348113480727,2.341973000141071,0
mobilenet_v3_large,FP8,16,15W,14.815377664126899,0.8329594136359307,1.8837215069238402,1.2005386860746605,0
mobilenet_v3_large,FP8,16,25W,24.64480642312824,1.318459682103967,3.16434116176932,0.7584608111825032,0
mobilenet_v3_large,FP8,16,MAXN,39.93601613036213,2.068016577500742,5.035007997906674,0.4835551179229564,0
mobilenet_v3_large,INT4,1,7W,4.222545652721046,0.1762701118057069,1.5191598025677397,5.673111509126666,0
mobilenet_v3_large,INT4,1,15W,9.108306460809555,0.322319361805197,3.1104623881796694,3.1025129685022734,0
mobilenet_v3_large,INT4,1,25W,15.224455677488999,0.5158768581789294,5.18426544007708,1.9384471005930546,0
mobilenet_v3_large,INT4,1,MAXN,24.358115833721925,0.8041044899693206,8.345885661755958,1.2436194704473713,0
mobilenet_v3_large,INT4,2,7W,4.780428562200642,0.20752800951435946,1.2540514285986049,4.818626663167639,0
mobilenet_v3_large,INT4,2,15W,9.99007120559805,0.3845220600279899,2.7267937958513366,2.6006310273257367,0
mobilenet_v3_large,INT4,2,25W,16.67513348911209,0.6273777856946526,4.6024034121544615,1.5939359390813754,0
mobilenet_v3_large,INT4,2,MAXN,26.74767786000859,0.9877879307868249,7.429988649292718,1.0123630476062282,0
mobilenet_v3_large,INT4,4,7W,5.308504012131583,0.25855615166605095,1.128910647032284,3.8676318221644634,0
mobilenet_v3_large,INT4,4,15W,11.047729216377675,0.482130707778068,2.4319729162489163,2.074126339325217,0
mobilenet_v3_large,INT4,4,25W,18.512499526279676,0.7783936123437576,4.02292117191873,1.2846970788840129,0
mobilenet_v3_large,INT4,4,MAXN,29.398163509365656,1.2269443472510833,6.539954130455432,0.8150328922745824,0
mobilenet_v3_large,INT4,8,7W,5.85661538861503,0.32199548762043395,0.998803921274025,3.1056335832221134,0
mobilenet_v3_large,INT4,8,15W,12.294740376674225,0.6187039438032808,2.166992836114278,1.616281922906174,0
mobilenet_v3_large,INT4,8,25W,20.643596276280906,0.9848182157125847,3.5555628340297383,1.0154158240020268,0
mobilenet_v3_large,INT4,8,MAXN,32.84614914239878,1.5397699211544684,5.791896472039093,0.6494476780337631,0
mobilenet_v3_large,INT4,16,7W,6.500714250322718,0.3875679917513538,0.8626188548777952,2.5801924340582674,0
mobilenet_v3_large,INT4,16,15W,13.736350956653972,0.7568771903451811,1.866271399272677,1.3212183069540522,0
mobilenet_v3_large,INT4,16,25W,22.684888218256596,1.1656618872183218,3.099451823119376,0.8578816987714601,0
mobilenet_v3_large,INT4,16,MAXN,36.520506797802824,1.8509699231918597,5.0375746638382015,0.5402572929308189,0
yolov8n,FP16,1,7W,5.408102025793803,0.23144050608212863,1.5176251953532351,4.320764834679118,0
yolov8n,FP16,1,15W,11.723453464769339,0.41938345430113266,3.1019062513229176,2.3844526762898077,0
yolov8n,FP16,1,25W,19.288498630079754,0.6606177849045602,5.151243245595324,1.5137346024440903,0
yolov8n,FP16,1,MAXN,30.680745199276963,0.9855189765297367,8.183816479167268,1.0146938048024754,0
yolov8n,FP16,2,7W,5.963005762971527,0.2553722544910007,1.3053685802399466,3.915852182114169,0
yolov8n,FP16,2,15W,12.632168723201048,0.48084333420576614,2.771089417850432,2.079679448300457,0
yolov8n,FP16,2,25W,20.955302314660972,0.7692059916150331,4.618503991621964,1.3000418755194423,0
yolov8n,FP16,2,MAXN,33.478162972500854,1.1727171483836418,7.318028154059024,0.8527205399684842,0
yolov8n,FP16,4,7W,6.675719193229915,0.31593581025129597,1.1648678279515736,3.1651999157822535,0
yolov8n,FP16,4,15W,14.040188214484681,0.5955215016620259,2.422152099675448,1.67920049437195,0
yolov8n,FP16,4,25W,23.495923686198697,0.935778763166352,3.984488333657452,1.0686286538672298,0
yolov8n,FP16,4,MAXN,37.64021342662736,1.4645362701596336,6.3777971748599205,0.6828099927433007,0
yolov8n,FP16,8,7W,7.536076175007611,0.3946670628638502,1.0416093600492649,2.533781240176543,0
yolov8n,FP16,8,15W,15.721500910502808,0.7473866543454099,2.1640202773967596,1.3379955263930137,0
yolov8n,FP16,8,25W,26.120593890668562,1.1808702367622648,3.525197302723852,0.8468330972095811,0
yolov8n,FP16,8,MAXN,41.36326461187288,1.912994496544034,5.65797558346444,0.5227406570204849,0
yolov8n,FP16,16,7W,8.276151446233325,0.5256790316058122,0.9283516805206237,1.902301480325858,0
yolov8n,FP16,16,15W,17.44755480773582,0.9613549202068934,1.9415955562648233,1.0401985562052252,0
yolov8n,FP16,16,25W,28.995172617958158,1.5466396523416601,3.219522331588079,0.6465630171100095,0
yolov8n,FP16,16,MAXN,45.69380329921508,2.417961372620666,5.128145824201469,0.4135715364700666,0
yolov8n,INT8,1,7W,4.736156371064388,0.18147509362037795,1.4027799310033902,5.510398038927968,0
yolov8n,INT8,1,15W,10.095641648932029,0.3503670639312517,3.008144111493715,2.854149556124425,0
yolov8n,INT8,1,25W,16.58472649617424,0.5562853785490516,5.065723304306435,1.7976384757914736,0
yolov8n,INT8,1,MAXN,26.509035469855682,0.8386483823303826,8.121036890314228,1.1923948356297591,0
yolov8n,INT8,2,7W,5.203715014200053,0.2301231488884089,1.2868954988361896,4.345499376444388,0
